0.11020,0.72619,0.72619,-0.89098,-0.68973,-1.50228,1.24389,0.38084,-0.25918,0.32646,0.93467,0.36245,-0.08511,-1.09965,1.01687,0.72619,1.42518,-1.12084,0.82634,-1.74884
0.31425,0.49499,0.49499,0.18204,-0.24985,0.61250,-1.74406,-1.76176,-0.18065,1.44578,1.99609,0.36528,1.66902,-1.38468,-1.69030,0.49499,-0.52285,-0.23675,1.61436,3.23546
0.57904,-2.55213,-2.55213,-1.67725,-0.69752,-0.79550,-1.02371,3.27892,-1.13162,0.37442,1.14204,-1.57408,-1.75075,-0.38835,3.18232,-2.55213,0.09460,0.15066,0.10826,0.14094
0.07311,1.29918,1.29918,-0.79042,-3.26413,-1.26094,1.24149,1.91849,-0.01459,0.41482,-0.28676,0.87114,-4.28021,-0.48343,0.77394,1.29918,0.22512,2.89736,0.76319,-4.53348
1.83911,3.58439,3.58439,-0.97288,-1.85160,-0.57339,-1.54346,0.76035,-0.47931,0.06338,-0.99758,1.36374,0.68748,-2.59393,-0.10589,3.58439,-0.27337,2.07250,0.90997,-5.77878
-0.63642,-4.80761,-4.80761,-3.92808,-1.76907,0.07445,-1.63846,4.45812,0.29766,1.03592,0.98245,-0.04521,-3.35662,4.22211,-1.14611,-4.80761,3.08489,0.82098,-2.06414,-2.21087
1.21327,-2.22355,-2.22355,0.29368,-0.32840,0.01558,0.57373,-1.73301,-0.13800,0.01458,-2.02936,-1.71499,-1.33355,0.90260,-0.41774,-2.22355,-0.11087,-1.32849,-0.55072,1.88708
-0.10760,-1.25291,-1.25291,-2.17550,0.73724,0.33972,2.52266,-2.16052,0.52996,-0.90549,-2.01299,1.76139,-4.44537,6.27174,-0.70007,-1.25291,-0.68716,0.70245,0.95759,-0.84989
-0.01688,0.13622,0.13622,-0.96740,-0.53277,-0.14174,1.28696,-1.99415,0.04147,-0.61990,-0.43141,0.01253,0.50159,1.89641,1.26714,0.13622,3.09946,-1.40217,-3.13755,2.07218
-1.51941,-0.78722,-0.78722,-0.60396,-0.47035,2.25557,0.83931,0.73477,-0.68904,0.75715,0.66468,-1.46805,-1.01668,0.69878,-0.79383,-0.78722,1.69232,1.13279,-1.24132,1.55422
0.50952,-3.98766,-3.98766,-3.66386,0.21306,0.36425,-3.04559,1.27568,0.26612,-0.01401,0.56966,-4.24275,-1.97848,2.53686,-0.10298,-3.98766,-1.14379,0.85309,-3.51132,2.20773
1.22246,1.83294,1.83294,-1.00995,0.58040,0.03111,1.69027,-0.31484,-0.30457,-0.28900,0.71539,0.03390,-0.00218,1.46807,-0.13367,1.83294,1.07464,0.54356,-2.21779,-3.60971
0.78171,2.17353,2.17353,0.08360,1.64581,2.97111,-0.31146,1.80010,0.98003,-0.36348,0.40426,1.09565,2.95891,-1.08710,0.25011,2.17353,0.37517,-0.09841,-1.17217,0.83961
